doc_id,title,department,year,region,text
D084,"Document Title D084 (finance)",finance,2025,europe,"This is the body text of document D084 in department finance for region europe and year 2025."
D085,"Document Title D085 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D085 in department marketing for region asia_pacific and year 2020."
D086,"Document Title D086 (hr)",hr,2020,europe,"This is the body text of document D086 in department hr for region europe and year 2020."
D087,"Document Title D087 (marketing)",marketing,2023,latin_america,"This is the body text of document D087 in department marketing for region latin_america and year 2023."
D088,"Document Title D088 (hr)",hr,2023,asia_pacific,"This is the body text of document D088 in department hr for region asia_pacific and year 2023."
D089,"Document Title D089 (legal)",legal,2021,latin_america,"This is the body text of document D089 in department legal for region latin_america and year 2021."
D090,"Document Title D090 (engineering)",engineering,2026,latin_america,"This is the body text of document D090 in department engineering for region latin_america and year 2026."
D091,"Document Title D091 (hr)",hr,2021,latin_america,"This is the body text of document D091 in department hr for region latin_america and year 2021."
D092,"Document Title D092 (finance)",finance,2023,latin_america,"This is the body text of document D092 in department finance for region latin_america and year 2023."
D093,"Document Title D093 (legal)",legal,2025,europe,"This is the body text of document D093 in department legal for region europe and year 2025."
D094,"Document Title D094 (finance)",finance,2026,latin_america,"This is the body text of document D094 in department finance for region latin_america and year 2026."
D095,"Document Title D095 (legal)",legal,2025,asia_pacific,"This is the body text of document D095 in department legal for region asia_pacific and year 2025."
D096,"Document Title D096 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D096 in department engineering for region asia_pacific and year 2023."
D097,"Document Title D097 (marketing)",marketing,2026,north_america,"This is the body text of document D097 in department marketing for region north_america and year 2026."
D098,"Document Title D098 (legal)",legal,2021,europe,"This is the body text of document D098 in department legal for region europe and year 2021."
D099,"Document Title D099 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D099 in department marketing for region asia_pacific and year 2020."
D100,"Document Title D100 (engineering)",engineering,2022,north_america,"This is the body text of document D100 in department engineering for region north_america and year 2022."
D101,"Document Title D101 (marketing)",marketing,2026,latin_america,"This is the body text of document D101 in department marketing for region latin_america and year 2026."
D102,"Document Title D102 (engineering)",engineering,2021,europe,"This is the body text of document D102 in department engineering for region europe and year 2021."
D103,"Document Title D103 (engineering)",engineering,2024,europe,"This is the body text of document D103 in department engineering for region europe and year 2024."
D104,"Document Title D104 (legal)",legal,2020,north_america,"This is the body text of document D104 in department legal for region north_america and year 2020."
D105,"Document Title D105 (finance)",finance,2025,latin_america,"This is the body text of document D105 in department finance for region latin_america and year 2025."
D106,"Document Title D106 (finance)",finance,2026,latin_america,"This is the body text of document D106 in department finance for region latin_america and year 2026."
D107,"Document Title D107 (marketing)",marketing,2024,latin_america,"This is the body text of document D107 in department marketing for region latin_america and year 2024."
D108,"Document Title D108 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D108 in department marketing for region asia_pacific and year 2020."
D109,"Document Title D109 (engineering)",engineering,2022,north_america,"This is the body text of document D109 in department engineering for region north_america and year 2022."
D110,"Document Title D110 (engineering)",engineering,2025,north_america,"This is the body text of document D110 in department engineering for region north_america and year 2025."
D111,"Document Title D111 (legal)",legal,2020,latin_america,"This is the body text of document D111 in department legal for region latin_america and year 2020."
D112,"Document Title D112 (legal)",legal,2022,europe,"This is the body text of document D112 in department legal for region europe and year 2022."
D113,"Document Title D113 (hr)",hr,2021,latin_america,"This is the body text of document D113 in department hr for region latin_america and year 2021."
D114,"Document Title D114 (finance)",finance,2020,latin_america,"This is the body text of document D114 in department finance for region latin_america and year 2020."
D115,"Document Title D115 (sales)",sales,2020,latin_america,"This is the body text of document D115 in department sales for region latin_america and year 2020."
D116,"Document Title D116 (marketing)",marketing,2023,north_america,"This is the body text of document D116 in department marketing for region north_america and year 2023."
D117,"Document Title D117 (marketing)",marketing,2021,north_america,"This is the body text of document D117 in department marketing for region north_america and year 2021."
D118,"Document Title D118 (sales)",sales,2026,asia_pacific,"This is the body text of document D118 in department sales for region asia_pacific and year 2026."
D119,"Document Title D119 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D119 in department engineering for region asia_pacific and year 2021."
D120,"Document Title D120 (sales)",sales,2024,latin_america,"This is the body text of document D120 in department sales for region latin_america and year 2024."
D121,"Document Title D121 (legal)",legal,2026,asia_pacific,"This is the body text of document D121 in department legal for region asia_pacific and year 2026."
D122,"Document Title D122 (finance)",finance,2021,asia_pacific,"This is the body text of document D122 in department finance for region asia_pacific and year 2021."
D123,"Document Title D123 (engineering)",engineering,2021,latin_america,"This is the body text of document D123 in department engineering for region latin_america and year 2021."
D124,"Document Title D124 (finance)",finance,2022,europe,"This is the body text of document D124 in department finance for region europe and year 2022."
D125,"Document Title D125 (marketing)",marketing,2024,europe,"This is the body text of document D125 in department marketing for region europe and year 2024."
D126,"Document Title D126 (engineering)",engineering,2025,europe,"This is the body text of document D126 in department engineering for region europe and year 2025."
D127,"Document Title D127 (finance)",finance,2024,europe,"This is the body text of document D127 in department finance for region europe and year 2024."
D128,"Document Title D128 (engineering)",engineering,2022,north_america,"This is the body text of document D128 in department engineering for region north_america and year 2022."
D129,"Document Title D129 (marketing)",marketing,2024,europe,"This is the body text of document D129 in department marketing for region europe and year 2024."
D130,"Document Title D130 (engineering)",engineering,2023,europe,"This is the body text of document D130 in department engineering for region europe and year 2023."
D131,"Document Title D131 (legal)",legal,2024,asia_pacific,"This is the body text of document D131 in department legal for region asia_pacific and year 2024."
D132,"Document Title D132 (sales)",sales,2021,north_america,"This is the body text of document D132 in department sales for region north_america and year 2021."
D133,"Document Title D133 (hr)",hr,2024,latin_america,"This is the body text of document D133 in department hr for region latin_america and year 2024."
D134,"Document Title D134 (finance)",finance,2023,asia_pacific,"This is the body text of document D134 in department finance for region asia_pacific and year 2023."
D135,"Document Title D135 (engineering)",engineering,2023,north_america,"This is the body text of document D135 in department engineering for region north_america and year 2023."
D136,"Document Title D136 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D136 in department engineering for region asia_pacific and year 2022."
D137,"Document Title D137 (engineering)",engineering,2021,europe,"This is the body text of document D137 in department engineering for region europe and year 2021."
D138,"Document Title D138 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D138 in department engineering for region asia_pacific and year 2020."
D139,"Document Title D139 (hr)",hr,2021,europe,"This is the body text of document D139 in department hr for region europe and year 2021."
D140,"Document Title D140 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D140 in department marketing for region asia_pacific and year 2023."
D141,"Document Title D141 (finance)",finance,2022,asia_pacific,"This is the body text of document D141 in department finance for region asia_pacific and year 2022."
D142,"Document Title D142 (legal)",legal,2022,latin_america,"This is the body text of document D142 in department legal for region latin_america and year 2022."
D143,"Document Title D143 (hr)",hr,2026,latin_america,"This is the body text of document D143 in department hr for region latin_america and year 2026."
D144,"Document Title D144 (sales)",sales,2024,north_america,"This is the body text of document D144 in department sales for region north_america and year 2024."
D145,"Document Title D145 (sales)",sales,2021,asia_pacific,"This is the body text of document D145 in department sales for region asia_pacific and year 2021."
D146,"Document Title D146 (sales)",sales,2023,europe,"This is the body text of document D146 in department sales for region europe and year 2023."
D147,"Document Title D147 (engineering)",engineering,2024,north_america,"This is the body text of document D147 in department engineering for region north_america and year 2024."
D148,"Document Title D148 (legal)",legal,2026,north_america,"This is the body text of document D148 in department legal for region north_america and year 2026."
D149,"Document Title D149 (marketing)",marketing,2022,latin_america,"This is the body text of document D149 in department marketing for region latin_america and year 2022."
D150,"Document Title D150 (finance)",finance,2026,asia_pacific,"This is the body text of document D150 in department finance for region asia_pacific and year 2026."
D151,"Document Title D151 (finance)",finance,2026,europe,"This is the body text of document D151 in department finance for region europe and year 2026."
D152,"Document Title D152 (engineering)",engineering,2022,europe,"This is the body text of document D152 in department engineering for region europe and year 2022."
D153,"Document Title D153 (engineering)",engineering,2024,latin_america,"This is the body text of document D153 in department engineering for region latin_america and year 2024."
D154,"Document Title D154 (sales)",sales,2020,north_america,"This is the body text of document D154 in department sales for region north_america and year 2020."
D155,"Document Title D155 (marketing)",marketing,2023,north_america,"This is the body text of document D155 in department marketing for region north_america and year 2023."
D156,"Document Title D156 (finance)",finance,2020,asia_pacific,"This is the body text of document D156 in department finance for region asia_pacific and year 2020."
D157,"Document Title D157 (legal)",legal,2020,asia_pacific,"This is the body text of document D157 in department legal for region asia_pacific and year 2020."
D158,"Document Title D158 (marketing)",marketing,2023,latin_america,"This is the body text of document D158 in department marketing for region latin_america and year 2023."
D159,"Document Title D159 (sales)",sales,2021,asia_pacific,"This is the body text of document D159 in department sales for region asia_pacific and year 2021."
D160,"Document Title D160 (sales)",sales,2023,europe,"This is the body text of document D160 in department sales for region europe and year 2023."
D161,"Document Title D161 (sales)",sales,2021,asia_pacific,"This is the body text of document D161 in department sales for region asia_pacific and year 2021."
D162,"Document Title D162 (hr)",hr,2026,north_america,"This is the body text of document D162 in department hr for region north_america and year 2026."
D163,"Document Title D163 (legal)",legal,2026,europe,"This is the body text of document D163 in department legal for region europe and year 2026."
D164,"Document Title D164 (engineering)",engineering,2025,europe,"This is the body text of document D164 in department engineering for region europe and year 2025."
D165,"Document Title D165 (legal)",legal,2025,asia_pacific,"This is the body text of document D165 in department legal for region asia_pacific and year 2025."
D166,"Document Title D166 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D166 in department marketing for region asia_pacific and year 2023."
D167,"Document Title D167 (hr)",hr,2021,asia_pacific,"This is the body text of document D167 in department hr for region asia_pacific and year 2021."
D168,"Document Title D168 (marketing)",marketing,2021,europe,"This is the body text of document D168 in department marketing for region europe and year 2021."
D169,"Document Title D169 (sales)",sales,2023,europe,"This is the body text of document D169 in department sales for region europe and year 2023."
D170,"Document Title D170 (marketing)",marketing,2024,north_america,"This is the body text of document D170 in department marketing for region north_america and year 2024."
D171,"Document Title D171 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D171 in department engineering for region asia_pacific and year 2022."
D172,"Document Title D172 (sales)",sales,2022,europe,"This is the body text of document D172 in department sales for region europe and year 2022."
D173,"Document Title D173 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D173 in department marketing for region asia_pacific and year 2026."
D174,"Document Title D174 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D174 in department marketing for region asia_pacific and year 2020."
D175,"Document Title D175 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D175 in department engineering for region asia_pacific and year 2022."
D176,"Document Title D176 (hr)",hr,2022,north_america,"This is the body text of document D176 in department hr for region north_america and year 2022."
D177,"Document Title D177 (sales)",sales,2020,asia_pacific,"This is the body text of document D177 in department sales for region asia_pacific and year 2020."
D178,"Document Title D178 (hr)",hr,2025,latin_america,"This is the body text of document D178 in department hr for region latin_america and year 2025."
D179,"Document Title D179 (engineering)",engineering,2026,europe,"This is the body text of document D179 in department engineering for region europe and year 2026."
D180,"Document Title D180 (engineering)",engineering,2022,latin_america,"This is the body text of document D180 in department engineering for region latin_america and year 2022."
D181,"Document Title D181 (finance)",finance,2023,asia_pacific,"This is the body text of document D181 in department finance for region asia_pacific and year 2023."
D182,"Document Title D182 (sales)",sales,2024,latin_america,"This is the body text of document D182 in department sales for region latin_america and year 2024."
D183,"Document Title D183 (marketing)",marketing,2026,latin_america,"This is the body text of document D183 in department marketing for region latin_america and year 2026."
D184,"Document Title D184 (legal)",legal,2021,europe,"This is the body text of document D184 in department legal for region europe and year 2021."
D185,"Document Title D185 (hr)",hr,2023,europe,"This is the body text of document D185 in department hr for region europe and year 2023."
D186,"Document Title D186 (legal)",legal,2020,europe,"This is the body text of document D186 in department legal for region europe and year 2020."
D187,"Document Title D187 (legal)",legal,2021,latin_america,"This is the body text of document D187 in department legal for region latin_america and year 2021."
D188,"Document Title D188 (finance)",finance,2020,north_america,"This is the body text of document D188 in department finance for region north_america and year 2020."
D189,"Document Title D189 (legal)",legal,2020,latin_america,"This is the body text of document D189 in department legal for region latin_america and year 2020."
D190,"Document Title D190 (legal)",legal,2022,latin_america,"This is the body text of document D190 in department legal for region latin_america and year 2022."
D191,"Document Title D191 (legal)",legal,2020,europe,"This is the body text of document D191 in department legal for region europe and year 2020."
D192,"Document Title D192 (engineering)",engineering,2025,latin_america,"This is the body text of document D192 in department engineering for region latin_america and year 2025."
D193,"Document Title D193 (legal)",legal,2021,asia_pacific,"This is the body text of document D193 in department legal for region asia_pacific and year 2021."
D194,"Document Title D194 (hr)",hr,2025,asia_pacific,"This is the body text of document D194 in department hr for region asia_pacific and year 2025."
D195,"Document Title D195 (engineering)",engineering,2024,latin_america,"This is the body text of document D195 in department engineering for region latin_america and year 2024."
D196,"Document Title D196 (finance)",finance,2020,latin_america,"This is the body text of document D196 in department finance for region latin_america and year 2020."
D197,"Document Title D197 (engineering)",engineering,2021,north_america,"This is the body text of document D197 in department engineering for region north_america and year 2021."
D198,"Document Title D198 (finance)",finance,2023,latin_america,"This is the body text of document D198 in department finance for region latin_america and year 2023."
D199,"Document Title D199 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D199 in department engineering for region asia_pacific and year 2026."
D200,"Document Title D200 (hr)",hr,2022,europe,"This is the body text of document D200 in department hr for region europe and year 2022."
D201,"Document Title D201 (legal)",legal,2025,europe,"This is the body text of document D201 in department legal for region europe and year 2025."
D202,"Document Title D202 (finance)",finance,2026,asia_pacific,"This is the body text of document D202 in department finance for region asia_pacific and year 2026."
D203,"Document Title D203 (marketing)",marketing,2023,latin_america,"This is the body text of document D203 in department marketing for region latin_america and year 2023."
D204,"Document Title D204 (legal)",legal,2021,north_america,"This is the body text of document D204 in department legal for region north_america and year 2021."
D205,"Document Title D205 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D205 in department marketing for region asia_pacific and year 2022."
D206,"Document Title D206 (hr)",hr,2020,asia_pacific,"This is the body text of document D206 in department hr for region asia_pacific and year 2020."
D207,"Document Title D207 (sales)",sales,2020,europe,"This is the body text of document D207 in department sales for region europe and year 2020."
D208,"Document Title D208 (finance)",finance,2023,asia_pacific,"This is the body text of document D208 in department finance for region asia_pacific and year 2023."
D209,"Document Title D209 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D209 in department engineering for region asia_pacific and year 2025."
D210,"Document Title D210 (sales)",sales,2022,asia_pacific,"This is the body text of document D210 in department sales for region asia_pacific and year 2022."
D211,"Document Title D211 (legal)",legal,2023,asia_pacific,"This is the body text of document D211 in department legal for region asia_pacific and year 2023."
D212,"Document Title D212 (marketing)",marketing,2026,latin_america,"This is the body text of document D212 in department marketing for region latin_america and year 2026."
D213,"Document Title D213 (engineering)",engineering,2022,north_america,"This is the body text of document D213 in department engineering for region north_america and year 2022."
D214,"Document Title D214 (hr)",hr,2025,europe,"This is the body text of document D214 in department hr for region europe and year 2025."
D215,"Document Title D215 (legal)",legal,2026,north_america,"This is the body text of document D215 in department legal for region north_america and year 2026."
D216,"Document Title D216 (hr)",hr,2020,asia_pacific,"This is the body text of document D216 in department hr for region asia_pacific and year 2020."
D217,"Document Title D217 (marketing)",marketing,2025,north_america,"This is the body text of document D217 in department marketing for region north_america and year 2025."
D218,"Document Title D218 (marketing)",marketing,2021,north_america,"This is the body text of document D218 in department marketing for region north_america and year 2021."
D219,"Document Title D219 (marketing)",marketing,2021,latin_america,"This is the body text of document D219 in department marketing for region latin_america and year 2021."
D220,"Document Title D220 (sales)",sales,2024,europe,"This is the body text of document D220 in department sales for region europe and year 2024."
D221,"Document Title D221 (legal)",legal,2020,europe,"This is the body text of document D221 in department legal for region europe and year 2020."
D222,"Document Title D222 (finance)",finance,2022,europe,"This is the body text of document D222 in department finance for region europe and year 2022."
D223,"Document Title D223 (finance)",finance,2024,latin_america,"This is the body text of document D223 in department finance for region latin_america and year 2024."
D224,"Document Title D224 (legal)",legal,2023,asia_pacific,"This is the body text of document D224 in department legal for region asia_pacific and year 2023."
D225,"Document Title D225 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D225 in department marketing for region asia_pacific and year 2020."
D226,"Document Title D226 (hr)",hr,2025,north_america,"This is the body text of document D226 in department hr for region north_america and year 2025."
D227,"Document Title D227 (finance)",finance,2023,latin_america,"This is the body text of document D227 in department finance for region latin_america and year 2023."
D228,"Document Title D228 (hr)",hr,2020,europe,"This is the body text of document D228 in department hr for region europe and year 2020."
D229,"Document Title D229 (sales)",sales,2024,europe,"This is the body text of document D229 in department sales for region europe and year 2024."
D230,"Document Title D230 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D230 in department marketing for region asia_pacific and year 2022."
D231,"Document Title D231 (sales)",sales,2021,north_america,"This is the body text of document D231 in department sales for region north_america and year 2021."
D232,"Document Title D232 (hr)",hr,2021,north_america,"This is the body text of document D232 in department hr for region north_america and year 2021."
D233,"Document Title D233 (hr)",hr,2020,europe,"This is the body text of document D233 in department hr for region europe and year 2020."
D234,"Document Title D234 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D234 in department marketing for region asia_pacific and year 2023."
D235,"Document Title D235 (hr)",hr,2023,latin_america,"This is the body text of document D235 in department hr for region latin_america and year 2023."
D236,"Document Title D236 (legal)",legal,2025,europe,"This is the body text of document D236 in department legal for region europe and year 2025."
D237,"Document Title D237 (marketing)",marketing,2025,latin_america,"This is the body text of document D237 in department marketing for region latin_america and year 2025."
D238,"Document Title D238 (legal)",legal,2025,asia_pacific,"This is the body text of document D238 in department legal for region asia_pacific and year 2025."
D239,"Document Title D239 (legal)",legal,2024,latin_america,"This is the body text of document D239 in department legal for region latin_america and year 2024."
D240,"Document Title D240 (engineering)",engineering,2022,europe,"This is the body text of document D240 in department engineering for region europe and year 2022."
D241,"Document Title D241 (finance)",finance,2020,latin_america,"This is the body text of document D241 in department finance for region latin_america and year 2020."
D242,"Document Title D242 (hr)",hr,2023,asia_pacific,"This is the body text of document D242 in department hr for region asia_pacific and year 2023."
D243,"Document Title D243 (marketing)",marketing,2025,north_america,"This is the body text of document D243 in department marketing for region north_america and year 2025."
D244,"Document Title D244 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D244 in department engineering for region asia_pacific and year 2023."
D245,"Document Title D245 (legal)",legal,2022,asia_pacific,"This is the body text of document D245 in department legal for region asia_pacific and year 2022."
D246,"Document Title D246 (hr)",hr,2026,asia_pacific,"This is the body text of document D246 in department hr for region asia_pacific and year 2026."
D247,"Document Title D247 (engineering)",engineering,2024,latin_america,"This is the body text of document D247 in department engineering for region latin_america and year 2024."
D248,"Document Title D248 (finance)",finance,2026,latin_america,"This is the body text of document D248 in department finance for region latin_america and year 2026."
D249,"Document Title D249 (finance)",finance,2024,north_america,"This is the body text of document D249 in department finance for region north_america and year 2024."
